2015-10-19 9:01:12 - PHP Notice:  Error: Unknown column 'thumbnail_image' in 'field list'<br />Error No: 1054<br />INSERT INTO `oc_category` (`category_id`, `image`, `parent_id`, `top`, `column`, `sort_order`, `status`, `date_added`, `date_modified`, `thumbnail_image`) VALUES ('64', '', '30', '0', '1', '0', '1', '2015-07-01 22:00:40', '2015-10-01 14:20:06', '') in D:\xampp\htdocs\Opencart\tt_optician\system\library\db\mysqli.php on line 41
2015-10-19 9:01:12 - PHP Notice:  Error: Unknown column 'thumbnail_image' in 'field list'<br />Error No: 1054<br />INSERT INTO `oc_category` (`category_id`, `image`, `parent_id`, `top`, `column`, `sort_order`, `status`, `date_added`, `date_modified`, `thumbnail_image`) VALUES ('71', '', '32', '0', '1', '0', '1', '2015-07-01 22:03:34', '2015-10-01 14:20:39', '') in D:\xampp\htdocs\Opencart\tt_optician\system\library\db\mysqli.php on line 41
2015-10-19 9:01:12 - PHP Notice:  Error: Unknown column 'thumbnail_image' in 'field list'<br />Error No: 1054<br />INSERT INTO `oc_category` (`category_id`, `image`, `parent_id`, `top`, `column`, `sort_order`, `status`, `date_added`, `date_modified`, `thumbnail_image`) VALUES ('61', '', '29', '0', '1', '0', '1', '2015-07-01 21:57:58', '2015-10-01 14:19:37', '') in D:\xampp\htdocs\Opencart\tt_optician\system\library\db\mysqli.php on line 41
2015-10-19 9:01:12 - PHP Notice:  Error: Unknown column 'thumbnail_image' in 'field list'<br />Error No: 1054<br />INSERT INTO `oc_category` (`category_id`, `image`, `parent_id`, `top`, `column`, `sort_order`, `status`, `date_added`, `date_modified`, `thumbnail_image`) VALUES ('60', '', '29', '0', '1', '0', '1', '2015-07-01 21:56:17', '2015-10-01 14:19:33', '') in D:\xampp\htdocs\Opencart\tt_optician\system\library\db\mysqli.php on line 41
2015-10-19 9:01:12 - PHP Notice:  Error: Unknown column 'thumbnail_image' in 'field list'<br />Error No: 1054<br />INSERT INTO `oc_category` (`category_id`, `image`, `parent_id`, `top`, `column`, `sort_order`, `status`, `date_added`, `date_modified`, `thumbnail_image`) VALUES ('59', '', '29', '0', '1', '0', '1', '2015-07-01 21:50:48', '2015-10-01 14:19:29', '') in D:\xampp\htdocs\Opencart\tt_optician\system\library\db\mysqli.php on line 41
2015-10-19 9:01:12 - PHP Notice:  Error: Unknown column 'thumbnail_image' in 'field list'<br />Error No: 1054<br />INSERT INTO `oc_category` (`category_id`, `image`, `parent_id`, `top`, `column`, `sort_order`, `status`, `date_added`, `date_modified`, `thumbnail_image`) VALUES ('73', '', '24', '0', '1', '0', '1', '2015-07-01 22:05:09', '2015-10-01 14:21:15', '') in D:\xampp\htdocs\Opencart\tt_optician\system\library\db\mysqli.php on line 41
2015-10-19 9:01:12 - PHP Notice:  Error: Unknown column 'thumbnail_image' in 'field list'<br />Error No: 1054<br />INSERT INTO `oc_category` (`category_id`, `image`, `parent_id`, `top`, `column`, `sort_order`, `status`, `date_added`, `date_modified`, `thumbnail_image`) VALUES ('74', '', '24', '0', '1', '0', '1', '2015-07-01 22:05:27', '2015-10-01 14:21:37', '') in D:\xampp\htdocs\Opencart\tt_optician\system\library\db\mysqli.php on line 41
2015-10-19 9:01:12 - PHP Notice:  Error: Unknown column 'thumbnail_image' in 'field list'<br />Error No: 1054<br />INSERT INTO `oc_category` (`category_id`, `image`, `parent_id`, `top`, `column`, `sort_order`, `status`, `date_added`, `date_modified`, `thumbnail_image`) VALUES ('75', '', '17', '0', '1', '0', '1', '2015-07-01 22:06:00', '2015-10-01 14:23:59', '') in D:\xampp\htdocs\Opencart\tt_optician\system\library\db\mysqli.php on line 41
2015-10-19 9:01:12 - PHP Notice:  Error: Unknown column 'thumbnail_image' in 'field list'<br />Error No: 1054<br />INSERT INTO `oc_category` (`category_id`, `image`, `parent_id`, `top`, `column`, `sort_order`, `status`, `date_added`, `date_modified`, `thumbnail_image`) VALUES ('76', '', '17', '0', '1', '0', '1', '2015-07-01 22:06:16', '2015-10-01 14:24:11', '') in D:\xampp\htdocs\Opencart\tt_optician\system\library\db\mysqli.php on line 41
2015-10-19 9:01:12 - PHP Notice:  Error: Unknown column 'thumbnail_image' in 'field list'<br />Error No: 1054<br />INSERT INTO `oc_category` (`category_id`, `image`, `parent_id`, `top`, `column`, `sort_order`, `status`, `date_added`, `date_modified`, `thumbnail_image`) VALUES ('77', '', '17', '0', '1', '0', '1', '2015-07-01 22:06:33', '2015-10-01 14:24:39', '') in D:\xampp\htdocs\Opencart\tt_optician\system\library\db\mysqli.php on line 41
2015-10-19 9:01:12 - PHP Notice:  Error: Unknown column 'thumbnail_image' in 'field list'<br />Error No: 1054<br />INSERT INTO `oc_category` (`category_id`, `image`, `parent_id`, `top`, `column`, `sort_order`, `status`, `date_added`, `date_modified`, `thumbnail_image`) VALUES ('78', '', '33', '0', '1', '0', '1', '2015-07-01 22:07:10', '2015-10-01 14:22:36', '') in D:\xampp\htdocs\Opencart\tt_optician\system\library\db\mysqli.php on line 41
